# wavelength,transmittance,std
3.383399999999999750e+02,1.418051155238625183e-01,9.069430696953717508e-01
3.393399999999999750e+02,1.454665389998184843e-01,8.902992720219056189e-01
3.403399999999999750e+02,1.487389021188114946e-01,8.312021044272979164e-01
3.413399999999999750e+02,1.540106647734062473e-01,8.284665004042655045e-01
3.423399999999999750e+02,1.583244126421737563e-01,8.554263083111196542e-01
3.433399999999999750e+02,1.610142481525731473e-01,9.879364112774455808e-01
3.443399999999999750e+02,1.618393262952999567e-01,1.031096634784620436e+00
3.453399999999999750e+02,1.654341880997289294e-01,8.476509234914956226e-01
3.463399999999999750e+02,1.713786752978752326e-01,7.671472539920332068e-01
3.473399999999999750e+02,1.777567503513093061e-01,7.489700506866197038e-01
3.483399999999999750e+02,1.832521001418079831e-01,7.723788203140963260e-01
3.493399999999999750e+02,1.882474700701239623e-01,8.352018279794864997e-01
3.503399999999999750e+02,1.924383411783548992e-01,9.358328000010307512e-01
3.513399999999999750e+02,1.963062815921023108e-01,9.774870783378472039e-01
3.523399999999999750e+02,2.005584629672045593e-01,1.009482270541883109e+00
3.533399999999999750e+02,2.047076115019149101e-01,1.088891393103152083e+00
3.543399999999999750e+02,2.076903768319126042e-01,1.184171827863165882e+00
3.553399999999999750e+02,2.102944960638805094e-01,1.252589259585667802e+00
3.563399999999999750e+02,2.129858414441736236e-01,1.136722065944808513e+00
3.573399999999999750e+02,2.182595060051926994e-01,9.771282856616200219e-01
3.583399999999999750e+02,2.253171367733098340e-01,9.594153474143133353e-01
3.593399999999999750e+02,2.314657725356995543e-01,1.038388197586050277e+00
3.603399999999999750e+02,2.356374709597675032e-01,1.108998215844583468e+00
3.613399999999999750e+02,2.395545110603963246e-01,1.204955408828019880e+00
3.623399999999999750e+02,2.427289755076272593e-01,1.186092312514290814e+00
3.633399999999999750e+02,2.474117178065952938e-01,9.610686712860977421e-01
3.643399999999999750e+02,2.547810272517679886e-01,8.577513357790257364e-01
3.653399999999999750e+02,2.610206984937223362e-01,9.458478426965791774e-01
3.663399999999999750e+02,2.654778332582107270e-01,1.072316824990478423e+00
3.673399999999999750e+02,2.735240833788371573e-01,1.086946960192621159e+00
3.683399999999999750e+02,2.860986274669448659e-01,1.103989363369205279e+00
3.693399999999999750e+02,2.836802256785806997e-01,1.785772021598482917e+00
3.703399999999999750e+02,2.737169081412036409e-01,3.007707045647040722e+00
3.713399999999999750e+02,2.502524495103198854e-01,4.238608830907493186e+00
3.723399999999999750e+02,2.113478611225272918e-01,5.028833612423006194e+00
3.733399999999999750e+02,1.655848173790544220e-01,4.817454274627142929e+00
3.743399999999999750e+02,1.218358506461648255e-01,3.937110623651850272e+00
3.753399999999999750e+02,8.288887374872062896e-02,2.958096879415715197e+00
3.763399999999999750e+02,5.599073293328354906e-02,2.057566654306510312e+00
