# wavelength,transmittance,std
7.560000000000000000e+02,7.667575824122163652e-01,1.005818305980991229e-01
7.570000000000000000e+02,7.660622482958678869e-01,1.060005507894972998e-01
7.580000000000000000e+02,7.653733127969108985e-01,1.122335299833579075e-01
7.590000000000000000e+02,7.639990144509981596e-01,1.180135324375300165e-01
7.600000000000000000e+02,3.501083557668299706e-01,1.233340704318679759e-01
7.610000000000000000e+02,2.625253954638934184e-01,1.261021711778097520e-01
7.620000000000000000e+02,5.867009716248119400e-01,1.296122874210041409e-01
7.630000000000000000e+02,4.386501538401875733e-01,1.331664391092984012e-01
7.640000000000000000e+02,4.547086623850371545e-01,1.349169961813035390e-01
7.650000000000000000e+02,5.997884828965814874e-01,1.379072093251053344e-01
7.660000000000000000e+02,6.176905153085122668e-01,1.402239230155062355e-01
7.670000000000000000e+02,6.645272407913840329e-01,1.411488486483242488e-01
7.680000000000000000e+02,7.052691970714206615e-01,1.426803646779978563e-01
7.690000000000000000e+02,7.363485032355504556e-01,1.450040208428922117e-01
7.700000000000000000e+02,7.459503372276630184e-01,1.472307921652812601e-01
7.710000000000000000e+02,7.539445641803390608e-01,1.511769262496853172e-01
7.720000000000000000e+02,7.531571224460175129e-01,1.554970849705665514e-01
7.730000000000000000e+02,7.529496259820135373e-01,1.591582732992410099e-01
7.740000000000000000e+02,7.520390705463344538e-01,1.610287567642831041e-01
7.750000000000000000e+02,7.516730274513659937e-01,1.648865208180304853e-01
7.760000000000000000e+02,7.507297934268567507e-01,1.677220460985216766e-01
7.770000000000000000e+02,7.498403445592621841e-01,1.708719764128463214e-01
7.780000000000000000e+02,7.489477356189829793e-01,1.746658871136892444e-01
7.790000000000000000e+02,7.478494651345237720e-01,1.814161272106786238e-01
7.800000000000000000e+02,7.467783988131315720e-01,1.859813770952953027e-01
7.810000000000000000e+02,7.457162367565184358e-01,1.915888811855729901e-01
7.820000000000000000e+02,7.446549372167747816e-01,1.971618890786213385e-01
7.830000000000000000e+02,7.435481665311505228e-01,2.024487474733679127e-01
7.840000000000000000e+02,7.424425784348683832e-01,2.067404179255721286e-01
