# wavelength,transmittance,std
4.930000000000000000e+02,6.204432679835608644e-01,1.106169676647917460e-01
4.940000000000000000e+02,6.215264444438266533e-01,1.077756011443228717e-01
4.950000000000000000e+02,6.219120687353197896e-01,1.255579161304870850e-01
4.960000000000000000e+02,6.228657772631943645e-01,1.428349117695038029e-01
4.970000000000000000e+02,6.241335480297367511e-01,1.443935037991451731e-01
4.980000000000000000e+02,6.244007615907598563e-01,1.687817534659187546e-01
4.990000000000000000e+02,6.244694515564382931e-01,1.580470151249272759e-01
5.000000000000000000e+02,6.237873754238604240e-01,1.737472342632863931e-01
5.010000000000000000e+02,6.233194648675600691e-01,2.024680795392775901e-01
5.020000000000000000e+02,6.225639876939417228e-01,2.554588778704470764e-01
5.030000000000000000e+02,6.215523207862987398e-01,2.934794574057817407e-01
5.040000000000000000e+02,6.211770652607727650e-01,3.231987878452614593e-01
5.050000000000000000e+02,6.199815282820201334e-01,3.183391520965895283e-01
5.060000000000000000e+02,6.192442074040294120e-01,2.977627684292079024e-01
5.070000000000000000e+02,6.178425675086554048e-01,2.446991234354972400e-01
5.080000000000000000e+02,6.175094963952428850e-01,2.039418703078074435e-01
5.090000000000000000e+02,6.176546030185211533e-01,2.302596415467816904e-01
5.100000000000000000e+02,6.183563061354379053e-01,3.033768818223336883e-01
5.110000000000000000e+02,6.203866065097852767e-01,3.736230827716582881e-01
5.120000000000000000e+02,6.232421801885811297e-01,3.972749113038921975e-01
5.130000000000000000e+02,6.261227507432642891e-01,3.890264154516914208e-01
5.140000000000000000e+02,6.282231039104649861e-01,3.344548422659647802e-01
5.150000000000000000e+02,6.303184493795163101e-01,2.634183683186827052e-01
5.160000000000000000e+02,6.317281506505720845e-01,1.845789092431028844e-01
5.170000000000000000e+02,6.328245787327936300e-01,1.550016800169624620e-01
5.180000000000000000e+02,6.328983948012204541e-01,1.629638678426055531e-01
5.190000000000000000e+02,6.325726572549287274e-01,1.766523561957069888e-01
5.200000000000000000e+02,6.323292183682998058e-01,1.629543838383034071e-01
5.210000000000000000e+02,6.315528012516345990e-01,1.480227596477554919e-01
5.220000000000000000e+02,6.310734726599755984e-01,1.414316764056380571e-01
5.230000000000000000e+02,6.307655077990371728e-01,1.692512459109952738e-01
5.240000000000000000e+02,6.309516231462091174e-01,1.862778461320506451e-01
5.250000000000000000e+02,6.305921321350167474e-01,2.084579193540362640e-01
5.260000000000000000e+02,6.302030330870509456e-01,2.842936801366797717e-01
5.270000000000000000e+02,6.287022221308292691e-01,4.157790277286598779e-01
5.280000000000000000e+02,6.268209114763541034e-01,5.523031359130537998e-01
5.290000000000000000e+02,6.233926610964594106e-01,6.647128615295690990e-01
5.300000000000000000e+02,6.191422595862677847e-01,7.240404650642841000e-01
5.310000000000000000e+02,6.151719654683096561e-01,6.991749960857548407e-01
5.320000000000000000e+02,6.111850009876885759e-01,6.013469946543327227e-01
5.330000000000000000e+02,6.067119187349357956e-01,4.807546940577762107e-01
5.340000000000000000e+02,6.035746706119134997e-01,3.554898016693434082e-01
5.350000000000000000e+02,6.009540020714675412e-01,2.802902175613810609e-01
5.360000000000000000e+02,5.989888594039827208e-01,2.781663807032314084e-01
5.370000000000000000e+02,5.980459363290262509e-01,3.392763933890937667e-01
5.380000000000000000e+02,5.965881079899301165e-01,4.549859443938465975e-01
5.390000000000000000e+02,5.941001327561649115e-01,5.454859388608930271e-01
5.400000000000000000e+02,5.909894823535603026e-01,5.577955292257573694e-01
5.410000000000000000e+02,5.872812436039732686e-01,5.117046875618069812e-01
5.420000000000000000e+02,5.831862191285031027e-01,5.075894184050413482e-01
5.430000000000000000e+02,5.804653860178456970e-01,6.808626064698293234e-01
5.440000000000000000e+02,5.784099283842438766e-01,9.385352458361747585e-01
5.450000000000000000e+02,5.767112555466460400e-01,1.563667706697844606e+00
5.460000000000000000e+02,5.722525045852808745e-01,2.977435776898563535e+00
5.470000000000000000e+02,5.621658259296998805e-01,5.132122966475987980e+00
5.480000000000000000e+02,5.401506523802657167e-01,7.888622890664194642e+00
5.490000000000000000e+02,5.048137031895864046e-01,1.049696830862717256e+01
5.500000000000000000e+02,4.542747667207428508e-01,1.219750897792519240e+01
5.510000000000000000e+02,3.936788220085358225e-01,1.230752023183263688e+01
5.520000000000000000e+02,3.345913782348467480e-01,1.091782308378775923e+01
5.530000000000000000e+02,2.834055904946210513e-01,8.789733545817224325e+00
5.540000000000000000e+02,2.428967695525057202e-01,6.866500894402350674e+00
5.550000000000000000e+02,2.127642742235993922e-01,6.023773686708927322e+00
5.560000000000000000e+02,1.876069615294789217e-01,6.475282533822618980e+00
5.570000000000000000e+02,1.593146167718810791e-01,7.801073635019085017e+00
5.580000000000000000e+02,1.253956063087982575e-01,8.627649842684842696e+00
5.590000000000000000e+02,8.601221250770822724e-02,7.614139578787121998e+00
5.600000000000000000e+02,4.909191051599576944e-02,5.036943865333944004e+00
5.610000000000000000e+02,2.408500148384239842e-02,2.599303503660435055e+00
5.620000000000000000e+02,1.118013795522417551e-02,1.183462665531562319e+00
5.630000000000000000e+02,5.458020174901691279e-03,5.474917568679767976e-01
5.640000000000000000e+02,2.773477955944322285e-03,2.619346467955684377e-01
5.650000000000000000e+02,1.467204899183561975e-03,1.302248603087146628e-01
5.660000000000000000e+02,8.383265752772942492e-04,6.995344122624662375e-02
5.670000000000000000e+02,4.937929290308121916e-04,3.885686762486345591e-02
